procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6101460 142260 7265256    0    0     0    85 2589 5177  0  0 99  0  0
 0  0      0 6100956 142260 7265240    0    0     0    15 2726 5319  0  0 99  0  0
 0  0      0 6100704 142260 7265240    0    0     0    33 2577 5205  1  0 99  0  0
 0  0      0 6100704 142260 7265240    0    0     0    16 2664 5299  0  0 99  0  0
 0  0      0 6100940 142260 7265300    0    0     0    14 2807 5565  1  0 99  0  0
 0  0      0 6100608 142260 7265376    0    0     0   566 3997 7138  1  1 96  2  0
 0  0      0 6100356 142260 7265308    0    0     0    14 2737 5499  1  0 99  0  0
 0  0      0 6100608 142260 7265308    0    0     0    70 2701 5442  1  0 99  0  0
 0  0      0 6100640 142260 7265300    0    0     0    58 2800 5468  1  0 99  0  0
 0  0      0 6100640 142260 7265308    0    0     0    72 2550 5113  0  0 99  0  0
 1  0      0 6100388 142260 7265340    0    0     0    42 2713 5331  1  0 99  0  0
 0  0      0 6100640 142260 7265332    0    0     0    66 2652 5277  1  0 99  0  0
 0  0      0 6100608 142260 7265312    0    0     0    45 2692 5313  0  0 99  0  0
 0  0      0 6100356 142260 7265316    0    0     0    16 2559 5386  0  0 99  0  0
 0  0      0 6100356 142260 7265332    0    0     0   100 2619 5237  1  0 99  0  0
 0  0      0 6100316 142260 7265360    0    0     0    44 2615 5229  1  0 99  0  0
 0  0      0 6100404 142260 7265360    0    0     0    14 2608 5245  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6099844 142260 7265516    0    0     0   520 3884 7122  1  1 96  2  0
 0  0      0 6101388 142260 7265504    0    0     0    17 2560 5238  0  0 99  0  0
 0  0      0 6100924 142260 7265552    0    0     0    67 2632 5306  0  0 99  0  0
 0  0      0 6100420 142260 7265516    0    0     0    15 2536 5217  0  0 99  0  0
